,LinearSVC,KNN,SVC Predict,BaggingSVC,Random Forest
Atlanta Hawks,0.809,0.83,0.862,0.851,0.862
Boston Celtics,0.8,0.812,0.862,0.862,0.825
Cleveland Cavaliers,0.934,0.908,0.895,0.908,0.921
New Orleans Pelicans,0.878,0.757,0.73,0.73,0.703
Chicago Bulls,0.829,0.829,0.816,0.816,0.763
Dallas Mavericks,0.744,0.866,0.89,0.89,0.89
Denver Nuggets,0.824,0.882,0.918,0.918,0.859
Golden State Warriors,0.753,0.831,0.831,0.818,0.766
Houston Rockets,0.882,0.868,0.921,0.908,0.842
Los Angeles Clippers,0.83,0.862,0.819,0.83,0.883
Los Angeles Lakers,0.735,0.904,0.843,0.843,0.819
Miami Heat,0.769,0.833,0.846,0.846,0.808
Milwaukee Bucks,0.857,0.857,0.837,0.837,0.806
Minnesota Timberwolves,0.8,0.747,0.76,0.747,0.773
Brooklyn Nets,0.826,0.872,0.872,0.86,0.826
New York Knicks,0.815,0.877,0.889,0.889,0.827
Orlando Magic,0.829,0.868,0.842,0.842,0.855
Indiana Pacers,0.883,0.883,0.922,0.922,0.844
Philadelphia 76ers,0.756,0.814,0.872,0.86,0.872
Phoenix Suns,0.735,0.827,0.776,0.776,0.796
Portland Trail Blazers,0.72,0.854,0.841,0.841,0.829
Sacramento Kings,0.763,0.855,0.803,0.803,0.776
San Antonio Spurs,0.763,0.908,0.868,0.868,0.842
Oklahoma City Thunder,0.88,0.853,0.84,0.84,0.787
Toronto Raptors,0.8,0.867,0.827,0.827,0.853
Utah Jazz,0.826,0.919,0.942,0.942,0.895
Memphis Grizzlies,0.819,0.843,0.735,0.747,0.819
Washington Wizards,0.768,0.829,0.805,0.817,0.768
Detroit Pistons,0.829,0.868,0.803,0.789,0.789
Charlotte Hornets,0.779,0.857,0.857,0.857,0.792
